body,sender,recipient,valence
Employees feel stagnated in their current roles.,erobinson,codywelch,5
No clear plan for employees to transition into leadership roles.,rebecca93,lisastone,3
Lack of training negatively impacts customer satisfaction.,nicolepierce,kristen90,2
Leadership's lack of awareness about skill gaps.,weaverkimberly,creed,2
Employees lack guidance on setting professional goals.,shawsavannah,umendez,3
No recognition for employees who excel through self-study.,andreahall,marysalazar,5
Lack of training leads to inefficiencies and errors.,youngevan,rturner,2
Opportunities for job rotation and diversification are absent.,morganspears,bradshawamy,1
Leadership doesn't recognize employees' aspirations for growth.,bautistastephanie,robert17,2
Employees feel unsupported in their pursuit of skill enhancement.,brandonmarshall,rogerslance,2
No structured program for mentoring new employees.,stephenvega,kbrooks,5
Lack of training programs affects our competitiveness.,vegapriscilla,angelareed,2
